ticker,thesis,thesis_status,conviction
SCHF,Low cost exposure to developed international equities improves geographic diversification,active,high
SPYM,Mid cap US equities provide balanced exposure between large cap stability and small cap growth,active,high
QMOM,Systematic momentum exposure can capture persistent relative strength across US equities,active,medium
SCHA,Small cap US equities offer long term growth and diversification beyond large cap holdings,active,high
SCHG,Large cap growth companies provide durable earnings growth and innovation exposure,active,high
CASH0,Liquidity supports near term needs and allows disciplined deployment during market weakness,active,high
MSTR,Bitcoin treasury exposure offers amplified upside but carries substantial leverage and concentration risk,active,low
ECO,Environmental services demand can benefit from infrastructure investment and tighter waste standards,active,low
VNOM,Mineral interests provide energy income and commodity upside without direct drilling costs,active,medium
SMCI,AI infrastructure demand can support server growth but competition and execution risk remain elevated,active,low
UNH,Scale and vertical integration support long term health care earnings despite regulatory risk,active,high
IBIT,Direct bitcoin exposure provides asymmetric return potential within a deliberately limited allocation,active,medium
AVUV,US small cap value exposure may improve factor diversification and complement broad small cap holdings,active,high
AVDV,International small cap value exposure may broaden geographic and factor diversification,watch,medium
SGOV,Short term Treasury exposure can preserve capital and improve yield on cash not needed immediately,active,high
